,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,abv,abv,abv,abv,abv,abv,abv,abv,ibu,ibu,ibu,ibu,ibu,ibu,ibu,ibu,id,id,id,id,id,id,id,id,ounces,ounces,ounces,ounces,ounces,ounces,ounces,ounces
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Pale Lager,2,254.5,180.3122292,127,190.75,254.5,318.25,382,2,503.5,270.8218972,312,407.75,503.5,599.25,695,2,0.0565,0.004949747,0.053,0.05475,0.0565,0.05825,0.06,1,22,,22,22,22,22,22,2,1958,584.0702013,1545,1751.5,1958,2164.5,2371,2,12,0,12,12,12,12,12
Extra Special / Strong Bitter (ESB),20,227.45,161.0366009,0,71.5,237,380,531,20,1105.8,780.6567815,188,309.5,816.5,1967.5,2132,19,0.056473684,0.006414986,0.045,0.053,0.056,0.0585,0.072,14,45.71428571,15.82319899,30,37,41,48.5,93,20,1513.1,725.9066853,68,906,1572.5,1968.25,2687,20,13.2,1.880649384,12,12,12,16,16
Flanders Oud Bruin,1,25,,25,25,25,25,25,1,2050,,2050,2050,2050,2050,2050,1,0.063,,0.063,0.063,0.063,0.063,0.063,1,23,,23,23,23,23,23,1,1366,,1366,1366,1366,1366,1366,1,16,,16,16,16,16,16
Flanders Red Ale,1,204,,204,204,204,204,204,1,1036,,1036,1036,1036,1036,1036,1,0.083,,0.083,0.083,0.083,0.083,0.083,0,,,,,,,,1,2179,,2179,2179,2179,2179,2179,1,19.2,,19.2,19.2,19.2,19.2,19.2
Foreign / Export Stout,6,154.6666667,113.6479946,12,67.75,154.5,245.75,292,6,1425.166667,924.3545676,206,687.5,1901,1952.75,2290,6,0.069,0.011171392,0.054,0.062,0.0685,0.07725,0.083,3,38.66666667,10.26320288,30,33,36,43,50,6,899.5,703.8314429,46,614.75,785.5,998.25,2153,6,12,0,12,12,12,12,12
Fruit / Vegetable Beer,49,239.3061224,154.3173413,10,92,268,368,533,49,1043.44898,670.0304428,25,586,1013,1325,2327,49,0.052469388,0.009641711,0.032,0.048,0.051,0.056,0.082,30,14.2,5.108478416,5,10,15.5,18,24,49,1484,733.2766929,9,802,1585,2015,2622,49,13.46938776,2.407471364,12,12,12,16,24
German Pilsener,36,259.9722222,179.4556031,1,68.5,278.5,397.25,555,36,1269.472222,667.2191538,73,736.25,1347,1849.5,2260,36,0.050916667,0.007267835,0.042,0.047,0.05,0.054,0.086,17,34.17647059,10.57257829,16,25,35,42,52,36,1217.194444,788.0773283,21,533.5,1211,1766.25,2682,36,13.22222222,1.868706369,12,12,12,16,16
Gose,10,157.2,149.657238,41,48.75,99.5,171,461,10,1216.7,892.9018921,101,281,1452.5,1827.75,2339,10,0.0441,0.005043147,0.035,0.042,0.043,0.0475,0.052,7,9.428571429,3.90969491,5,6.5,10,11,16,10,2105.3,527.2197623,1172,1808.75,2330.5,2499.25,2584,10,13.2,1.932183566,12,12,12,15,16
Grisette,1,371,,371,371,371,371,371,1,1900,,1900,1900,1900,1900,1900,1,0.056,,0.056,0.056,0.056,0.056,0.056,1,25,,25,25,25,25,25,1,1363,,1363,1363,1363,1363,1363,1,12,,12,12,12,12,12
Hefeweizen,40,290.175,177.2393554,30,125,294,450.75,556,40,1290.325,586.0607034,204,902,1210,1706.25,2359,39,0.051461538,0.005452407,0.041,0.049,0.05,0.0545,0.07,27,17.59259259,7.894785325,8,12.5,15,18,42,40,1250.675,801.5773356,22,511,1233.5,1836.25,2551,40,13.1,2.394437999,12,12,12,12,24
Herbed / Spiced Beer,9,213.8888889,177.2346216,30,44,212,350,530,9,1377.333333,701.8619879,468,666,1722,1798,2334,9,0.062444444,0.014586904,0.045,0.052,0.058,0.066,0.09,5,22.2,9.959919678,15,15,15,31,35,9,1266.444444,820.9793102,27,609,1554,1804,2439,9,12.88888889,1.763834207,12,12,12,12,16
Irish Dry Stout,5,357.8,209.5547661,25,281,453,499,531,5,1239.6,910.1638863,332,706,733,2053,2374,4,0.056,0.012832251,0.04,0.0505,0.0565,0.062,0.071,3,38.66666667,14.571662,27,30.5,34,44.5,55,5,1100.8,533.6512906,447,826,1128,1213,1890,5,15.2,1.788854382,12,16,16,16,16
Irish Red Ale,12,335.4166667,128.8568327,17,299.25,365,433.25,453,12,1384.916667,591.7446406,384,968.25,1421.5,1854,2193,12,0.052333333,0.003845501,0.045,0.05,0.0525,0.05425,0.058,8,28,8.298020418,21,22,26.5,30,46,12,1073.25,541.5969862,189,797.75,1007,1387,1913,12,14,2.088931871,12,12,14,16,16
Keller Bier / Zwickel Bier,3,82.33333333,92.85652014,2,31.5,61,122.5,184,3,1571.666667,484.49183,1118,1316.5,1515,1798.5,2082,3,0.050333333,0.002081666,0.048,0.0495,0.051,0.0515,0.052,3,24.33333333,9.291573243,18,19,20,27.5,35,3,1585.666667,1394.096242,14,1042,2070,2371.5,2673,3,14.66666667,2.309401077,12,14,16,16,16
Kristalweizen,1,36,,36,36,36,36,36,1,791,,791,791,791,791,791,1,0.045,,0.045,0.045,0.045,0.045,0.045,0,,,,,,,,1,2591,,2591,2591,2591,2591,2591,1,12,,12,12,12,12,12
Kölsch,42,250.4761905,165.6805975,3,126.5,234,400.75,553,42,1047.452381,637.7179284,55,597.5,890,1587.5,2397,42,0.048952381,0.004299475,0.032,0.047,0.05,0.05075,0.06,27,21.77777778,5.733392963,11,17,22,27.5,32,42,1381.928571,750.3771862,92,714.25,1409,1968.75,2662,42,13.33333333,1.908474894,12,12,12,16,16
Light Lager,12,230.0833333,122.3678941,129,140.75,166,299,507,12,1378.333333,424.0052172,623,1292.75,1391.5,1566.25,2027,12,0.040416667,0.004501683,0.032,0.03775,0.0405,0.04275,0.048,3,11.66666667,1.527525232,10,11,12,12.5,13,12,1661.416667,801.2066421,326,958.75,2127.5,2290.75,2358,12,12.66666667,1.556997888,12,12,12,12,16
Low Alcohol Beer,1,522,,522,522,522,522,522,1,2266,,2266,2266,2266,2266,2266,1,0.001,,0.001,0.001,0.001,0.001,0.001,0,,,,,,,,1,606,,606,606,606,606,606,1,16,,16,16,16,16,16
Maibock / Helles Bock,5,318.6,217.1642236,83,126,309,530,545,5,1538.2,715.5383987,464,1189,1846,1930,2262,4,0.05925,0.008539126,0.047,0.05675,0.062,0.0645,0.066,2,27.5,3.535533906,25,26.25,27.5,28.75,30,5,1272.6,864.6006593,392,504,1181,1919,2367,5,13.6,2.19089023,12,12,12,16,16
Mead,5,421.4,0.547722558,421,421,421,422,422,5,1144.8,764.3472378,307,308,1702,1703,1704,5,0.0716,0.011502174,0.059,0.059,0.08,0.08,0.08,0,,,,,,,,5,1373,1.58113883,1371,1372,1373,1374,1375,5,14.4,2.19089023,12,12,16,16,16
